"","user.self","sys.self","elapsed","user.child","sys.child","Model"
"vsurf.time42",19.576,1.815,769.308000000001,0.00999999999999091,0.0129999999999999,"VSURF"
"varselrf.time42",48.1350000000002,0.11399999999999,54.7889999999989,0,0,"VarSelRF"
"pimp.time42",0.437000000000808,0.0630000000000024,145.152999999998,173.816,1.469,"PIMP"
"aucrf.time42",11.4260000000004,0.126999999999995,14.4710000000014,0,0,"AUCRF"
"efs.time42",277.909000000001,4.977,345.555999999999,0,0,"EFS"
"rfe.time42",4.16399999999976,0.012999999999991,8.68900000000031,0,0,"RFE"
"vita.time42",16.134,0.382000000000005,31.491,0,0,"Vita"
"perm.time42",3.26999999999953,0.00900000000000034,3.41499999999905,0,0,"Perm"
"binom.rf.time43",1.04399999999987,0.00400000000000489,2.20700000000033,0,0,"BinomialRF"
"boruta.time43",68.067,0.703000000000003,60.9500000000007,0,0,"Boruta"
"vsurf.time43",20.9390000000003,1.547,826.642,0.00999999999999091,0.0139999999999993,"VSURF"
"varselrf.time43",48.5050000000001,0.108000000000004,57.1569999999992,0,0,"VarSelRF"
"pimp.time43",0.4350000000004,0.063999999999993,107.101000000001,176.013,1.375,"PIMP"
"aucrf.time43",11.3639999999996,0.123999999999995,11.860999999999,0,0,"AUCRF"
"efs.time43",278.644,5.94200000000001,369.872000000001,0,0,"EFS"
"rfe.time43",4.19499999999971,0.0120000000000005,10.7309999999998,0,0,"RFE"
"vita.time43",16.0469999999996,0.376999999999995,17.7329999999984,0,0,"Vita"
